Néctar de agave;1
Azúcar de barbados;1
Cebada de malta;1
Azúcar de remolacha;1
Melaza;1
Azúcar morena;1
Jarabe;1
Almibar;1
Cristales de caña;1
Caña de azúcar;1
Caramelo;1
Jarabe de ceratonia;1
Azúcar de castor;1
Azúcar glasé;1
Jarabe de maíz;1
Jarabe de maíz solida;1
Fructosa cristalina;1
Azúcar de higo;1
Demerara;1
Dextrano;1
Dextrosa;1
Malta diastática;1
Diastasa;1
Etil Maltol;1
Jugo de caña;1
Cristales de florida;1
Fructosa;1
Concentrado de fruta;1
Solidos de glucosa;1
Azúcar dorada;1
Jarabe dorado;1
Azúcar de uva;1
Almíbar;1
Miel;1
Azúcar glass;1
Azúcar invertida;1
Jarabe de malta;1
Maltodextrina;1
Maltosa;1
Jarabe de arce;1
Azúcar morena orgánica;1
Pilonsillo;1
Jarabe refinado;1
Jarabe de arroz;1
Jarabe de sorgo;1
Sacarosa;1
Azúcar blanca;1
Azúcar turbinado;1
Azúcar amarilla;1
D Ribosa;1
Sucrosa;1
Panela;1
Dextrina;1
Glucosa;1
Miel de malta;1
Harina de amaranto;2
amaranto;2
Trigo sarraceno;2
Trigo alforón;2
Harina de avena sin gluten;2
Harina de arrurruz;2
Harina de guisantes;2
Harina de arroz blanco;2
Harina de arroz integral;2
Arroz;2
Harina de habas;2
Teff;2
Harina de amendras;2
Harina de quinoa;2
Harina de garbanzo;2
Mijo;2
Sorgo;2
Harina de coco;2
Harina de patatas;2
Tapioca;2
Coco;2
Patatas;2
Cañamo;2
Lentejas;2
Linaza;2
Harina de linaza;2
Lino;2
Harina de trigo ;3
Harina de centeno;3
Harina de cebada;3
Harina de maiz;3
Harina de trigo candeal;3
Harina de graham;3
Triticum;3
Centeno;3
Cebada;3
Avena;3
Harina de avena;3
Espelta;3
Escanda;3
Kamut;3
Tricale;3
Germen de trigo;3
Salvado de trigo;3
Harina pan;3
Lactosa;4
Caseína ;4
Gluten;4
